sample_ID,poly_ID,MIC_ecoli,sequence,seq_mon_mol_dist
11,4,256,TmaPheTmaTmaPhePheTmaPhePheTmaPheMepTmaPheMepPhePhePheTmaTmaTmaMepPhePhePheTmaPhePheTmaTmaMepPheTmaMepTmaPheTmaTmaTmaTmaTmaTmaPheTmaTmaMepTmaPhePheTmaMepPheTmaMepPheTmaMepTmaMepTmaTmaTmaMepMepTmaMepTmaPheTmaTma,[0.57258568 0.27577012 0.1516442 ]
12,4,256,TmaTmaTmaTmaTmaPheTmaMepPheTmaTmaTmaPheTmaTmaPhePheMepMepMepPhePheTmaTmaPheTmaTmaTmaTmaTmaMepTmaPhePhePheTmaTmaPhePheTmaPhePheMepMepTmaPheTmaTmaPhePheTmaPheTmaPheTmaPheTmaTmaTmaTmaTmaTmaPhePheTmaTmaTmaTmaPheTma,[0.64001832 0.28041216 0.07956952]
13,4,256,TmaTmaPheTmaPheTmaTmaMepMepTmaTmaTmaPhePhePhePhePheMepTmaTmaPhePhePheTmaTmaMepTmaPheTmaTmaTmaTmaPheTmaTmaTmaPhePheMepTmaPhePheTmaMepTmaPheTmaPhePhePhePheTmaTmaPheTmaPheMepPhePhePhePheTmaTmaTmaPhePheTmaTmaPheTma,[0.55736147 0.36074645 0.08189208]
14,4,256,PheMepPheTmaPhePheTmaPheTmaTmaPheTmaTmaPheTmaPheTmaTmaPheMepTmaTmaTmaTmaMepTmaMepMepPheTmaTmaTmaPheTmaMepPheTmaPheTmaTmaTmaPhePheTmaPheMepPhePhePheTmaTmaPheTmaTmaMepTmaPheTmaPheTmaTmaPhePhePheMepPheMepPhePhePhe,[0.52924906 0.35249601 0.11825493]
15,4,256,TmaTmaPheTmaPheTmaMepPheMepMepPheTmaPheTmaPheTmaPhePheMepTmaTmaPheTmaTmaTmaTmaMepPheTmaPhePheTmaPheTmaPheTmaPhePheTmaPheTmaPheTmaTmaTmaTmaPheTmaTmaPheTmaPhePheTmaTmaPhePheMepTmaTmaTmaTmaTmaTmaTmaPheTmaPheTmaTma,[0.62636996 0.30512548 0.06850455]
16,4,256,TmaTmaPheMepTmaTmaPhePheTmaTmaTmaTmaTmaPhePheTmaTmaTmaPhePheTmaPheTmaTmaPheTmaPheMepMepTmaTmaMepPhePheTmaTmaTmaTmaTmaPheMepPheTmaPhePheMepTmaTmaTmaTmaPheTmaTmaTmaMepMepTmaTmaPhePheTmaPhePhePheTmaPhePheMepTmaTma,[0.61338427 0.28326959 0.10334615]
17,4,256,TmaMepTmaPhePheMepMepTmaTmaMepTmaTmaPheTmaTmaTmaPhePhePhePhePheTmaMepPhePheTmaTmaPheTmaTmaTmaTmaTmaTmaPheMepTmaTmaTmaTmaTmaTmaPheTmaTmaTmaPheTmaTmaPhePheTmaTmaPhePheTmaPheMepTmaTmaPhePhePheTmaTmaTmaTmaPheTmaPhe,[0.64001832 0.28041216 0.07956952]
18,4,256,PheTmaPhePheTmaTmaTmaMepPheTmaPhePhePhePhePhePhePheTmaTmaTmaTmaPheTmaTmaPhePheTmaPheTmaPheMepTmaTmaTmaTmaTmaPhePheTmaPhePheTmaPheTmaMepMepMepTmaMepTmaPhePheMepTmaTmaTmaTmaPheTmaTmaPhePheTmaMepMepTmaTmaTmaTmaPhe,[0.57184214 0.32330975 0.10484811]
19,4,256,TmaTmaPhePheTmaTmaTmaTmaPheMepTmaPheTmaTmaTmaPheTmaTmaTmaTmaMepPhePhePhePhePhePheTmaTmaTmaTmaPhePhePheTmaTmaPheTmaTmaMepTmaTmaMepPhePhePhePheTmaMepPhePhePheMepPhePheMepPheTmaTmaPheMepMepTmaTmaPhePhePheMepPhePhe,[0.50002169 0.38054879 0.11942953]
20,4,256,TmaPhePheMepTmaTmaTmaTmaTmaPheTmaTmaTmaTmaPhePheTmaTmaTmaTmaTmaTmaTmaTmaMepPheTmaTmaPhePheTmaTmaPheTmaTmaMepPheTmaTmaPheMepPheTmaTmaTmaTmaTmaMepPhePheTmaTmaPhePheMepTmaTmaPheTmaTmaPhePhePheTmaPhePhePheTmaTmaTma,[0.66632938 0.26612811 0.06754251]
21,4,256,TmaPheTmaTmaPhePhePhePheMepTmaPheTmaTmaPheTmaPhePheTmaPhePheTmaMepPheMepPhePhePheTmaTmaTmaPheTmaTmaPhePheTmaTmaMepPheMepTmaTmaPheTmaTmaTmaTmaTmaTmaPheTmaTmaTmaPheTmaTmaTmaTmaTmaMepPheTmaPhePhePheTmaPheTmaPheTma,[0.59909189 0.33174682 0.06916129]
22,4,256,TmaMepTmaPheTmaTmaPheTmaPheTmaMepTmaTmaTmaPheTmaPheMepTmaPheMepMepTmaTmaPhePheTmaPheTmaPheTmaTmaTmaPheTmaTmaTmaPheTmaTmaMepTmaPhePheTmaPheTmaTmaPheTmaPheTmaTmaTmaTmaPheTmaPheTmaPheTmaTmaTmaTmaMepTmaPhePhePhePhe,[0.64001832 0.28041216 0.07956952]
23,4,256,TmaTmaPhePheMepPheTmaTmaPheTmaPheMepPheTmaTmaPheTmaTmaPheTmaMepPheTmaTmaTmaTmaPheTmaTmaTmaTmaTmaPheTmaTmaTmaTmaTmaTmaTmaTmaTmaTmaTmaTmaTmaTmaMepTmaMepPheTmaTmaMepTmaTmaTmaPheTmaPheMepPhePhePheTmaPhePhePheTmaPhe,[0.67961314 0.24192992 0.07845694]
24,4,256,TmaTmaPheTmaTmaPheTmaTmaMepTmaTmaPhePheTmaPhePhePheTmaMepMepPheMepTmaTmaTmaMepPheTmaTmaTmaTmaPheMepTmaMepMepTmaTmaTmaTmaTmaTmaMepPhePheTmaTmaTmaTmaTmaTmaPhePhePheTmaTmaTmaTmaTmaTmaTmaPhePheMepMepPhePhePheTmaPhe,[0.62736801 0.24684019 0.1257918 ]
25,4,256,PhePheTmaTmaMepTmaTmaTmaTmaTmaPhePhePhePheTmaTmaPheTmaTmaPheTmaTmaTmaTmaMepTmaPhePhePhePheTmaTmaPheTmaPheTmaMepTmaTmaTmaTmaTmaPhePheMepTmaTmaPheTmaTmaMepTmaTmaMepPhePheTmaMepTmaPheMepPhePheMepPheTmaTmaMepTmaPhe,[0.59986264 0.28472025 0.11541711]
26,4,256,MepTmaMepMepTmaTmaPhePheTmaPheTmaTmaTmaTmaTmaPheMepTmaTmaPhePheMepPhePheMepTmaPheTmaTmaPheTmaPhePheTmaTmaTmaTmaTmaPheMepPhePhePheTmaPheTmaMepTmaTmaMepPhePheMepTmaTmaTmaTmaTmaTmaMepPhePheTmaTmaPhePheTmaMepMepTma,[0.57258568 0.27577012 0.1516442 ]
27,4,256,PheMepPhePheTmaTmaTmaPhePhePheTmaTmaMepTmaTmaTmaTmaPhePheTmaTmaPhePheTmaMepTmaPhePheTmaTmaPheTmaTmaPhePheTmaMepMepPheTmaPheTmaPhePheTmaTmaTmaPheMepTmaMepPheTmaPhePhePhePheTmaPheTmaPhePheTmaPheTmaTmaMepPhePhePhe,[0.51436691 0.39062456 0.09500854]
28,4,256,TmaPheTmaTmaTmaPheTmaPhePhePheTmaTmaPheTmaTmaTmaTmaTmaTmaMepTmaPhePheTmaPhePhePhePheTmaMepTmaMepTmaTmaTmaMepPhePhePhePheTmaPheMepPhePhePhePhePhePheTmaTmaTmaPheTmaTmaMepTmaPhePhePhePheTmaTmaTmaPheTmaTmaTmaPhePhe,[0.55717982 0.37264984 0.07017034]
29,4,256,MepPhePheTmaTmaMepPheMepTmaPheMepTmaTmaTmaTmaTmaMepTmaTmaTmaMepTmaTmaTmaTmaPhePheMepPheTmaPheTmaPhePhePheTmaTmaTmaPhePheTmaTmaMepTmaMepPheMepTmaTmaTmaTmaTmaTmaTmaPhePhePhePheTmaTmaTmaTmaTmaTmaPhePheTmaTmaPheMep,[0.62736801 0.24684019 0.1257918 ]
30,4,256,TmaTmaPheTmaPheTmaTmaTmaPheTmaTmaTmaPhePheMepPhePhePhePheMepPheTmaPheMepTmaMepPheTmaPhePheTmaTmaPheMepTmaTmaTmaTmaTmaPhePheTmaTmaTmaTmaMepMepTmaTmaPheMepMepMepPhePheTmaTmaTmaPheTmaTmaTmaTmaTmaTmaPhePhePhePheTma,[0.58601236 0.29801392 0.11597372]
31,4,256,PheTmaPhePhePheTmaPhePheTmaMepPhePheTmaPheTmaPhePheTmaPheMepMepTmaTmaMepMepPhePhePheMepTmaTmaPhePheTmaPheTmaPhePhePhePheTmaTmaMepPhePheTmaPheTmaPhePhePheTmaPheTmaTmaTmaTmaTmaTmaPheTmaTmaTmaTmaTmaTmaMepMepPheTma,[0.51453719 0.37854282 0.10691999]
32,4,256,TmaTmaTmaTmaPheTmaTmaTmaPheTmaTmaTmaPheTmaPheTmaMepTmaPheMepTmaTmaMepMepTmaTmaTmaTmaTmaTmaPheTmaTmaTmaMepTmaPheTmaTmaPheTmaMepTmaTmaTmaTmaTmaTmaTmaTmaTmaTmaTmaMepTmaMepTmaTmaTmaTmaPheTmaPheTmaTmaPheTmaPheMepPhe,[0.75603079 0.14578049 0.09818873]
33,4,256,PheMepTmaTmaMepPhePheTmaTmaPhePheTmaPhePheMepMepTmaTmaPhePhePheTmaPheMepPheTmaTmaTmaTmaPheTmaTmaTmaPhePheMepMepPheMepMepMepTmaPhePheTmaTmaTmaPheMepTmaTmaTmaPheTmaPheTmaMepPhePheTmaTmaPheTmaPheTmaTmaTmaPheMepTma,[0.5297728  0.31634365 0.15388355]
34,4,256,TmaPheMepTmaPhePheTmaPhePheTmaTmaTmaPhePhePheTmaTmaTmaPhePheTmaTmaTmaTmaTmaTmaMepTmaTmaPheTmaMepPheTmaTmaMepPhePheTmaPheTmaMepTmaPheTmaMepPheMepPhePhePheTmaPheTmaTmaPhePhePheTmaTmaTmaTmaTmaPheTmaPhePheTmaTmaTma,[0.59928439 0.32000151 0.08071409]
35,4,256,TmaTmaTmaTmaTmaPheTmaTmaPheTmaPheTmaTmaMepPheTmaTmaMepMepPheTmaTmaPheTmaMepTmaTmaMepTmaTmaTmaTmaTmaTmaPhePheTmaPhePhePheTmaTmaMepTmaTmaPheMepPheTmaMepPhePheMepTmaPheTmaTmaMepTmaPheTmaMepTmaMepPhePheTmaPhePhePhe,[0.60024876 0.26116156 0.13858968]
36,4,256,TmaTmaTmaTmaPheTmaMepTmaTmaPheTmaTmaTmaTmaTmaTmaMepMepPheTmaPheTmaTmaPhePheMepTmaTmaTmaTmaTmaTmaPhePheTmaTmaPhePheTmaTmaTmaPhePheTmaTmaPheTmaMepTmaTmaTmaTmaPhePheTmaMepTmaTmaTmaTmaTmaMepPheTmaPhePheTmaPheTmaPhe,[0.6925665  0.22934053 0.07809297]
37,4,256,TmaTmaTmaPheTmaPhePheTmaTmaTmaTmaMepPhePheTmaTmaMepTmaMepTmaTmaTmaTmaPheTmaTmaTmaTmaTmaTmaPhePheMepMepMepPheTmaTmaMepTmaTmaTmaPheTmaTmaTmaTmaTmaTmaTmaPheTmaTmaPhePheTmaMepPhePhePheMepTmaPhePhePhePheMepTmaTmaTma,[0.65395932 0.23279762 0.11324306]
38,4,256,PheTmaPheTmaTmaMepPheTmaTmaTmaPhePheTmaTmaMepPheTmaTmaTmaTmaTmaPhePheTmaPhePheMepPheMepTmaPheTmaTmaTmaPheTmaPhePheTmaPhePhePhePheTmaTmaTmaTmaPheTmaTmaMepPheMepTmaPheTmaPheTmaMepPheMepPhePheTmaMepTmaTmaTmaTmaPhe,[0.57184214 0.32330975 0.10484811]
39,4,256,TmaMepPhePheTmaTmaTmaTmaTmaTmaTmaTmaPheMepPheTmaPheTmaTmaTmaMepPhePheTmaTmaPheTmaPhePhePhePheTmaTmaTmaMepTmaTmaTmaTmaTmaPhePheTmaPhePhePheTmaTmaTmaTmaPheTmaPhePheMepMepTmaMepTmaPheTmaPheTmaPhePheTmaTmaTmaMepTma,[0.6267688  0.28183363 0.09139757]
40,4,256,PhePhePhePhePhePheTmaMepTmaMepPhePheMepTmaMepTmaPheTmaMepPheTmaTmaPheTmaPhePheTmaMepPhePheTmaMepMepTmaTmaTmaPheTmaTmaTmaTmaTmaTmaPhePheTmaPhePhePheTmaTmaPhePheTmaTmaPhePhePhePheTmaTmaTmaTmaMepTmaTmaPheTmaPheTma,[0.54346999 0.35065609 0.10587391]
41,4,256,PhePhePheTmaMepPheMepTmaTmaMepTmaPhePhePheTmaTmaPheMepTmaPhePhePhePheMepMepTmaPhePheMepMepTmaTmaTmaPheTmaTmaPheTmaPheTmaMepPheTmaMepPhePhePheTmaTmaMepTmaTmaMepTmaPheTmaTmaTmaMepPheTmaPheTmaMepPheMepTmaTmaPheTma,[0.50085515 0.31970196 0.1794429 ]
42,4,256,MepTmaPheTmaPhePheMepPhePhePhePhePheTmaPheTmaPheTmaTmaPheTmaPhePheTmaPheTmaPheMepPheTmaTmaMepTmaPhePheTmaTmaPheTmaTmaTmaTmaTmaTmaTmaTmaMepPheTmaPheTmaTmaTmaTmaTmaMepTmaPhePhePhePhePheTmaTmaPhePhePhePheTmaTmaTma,[0.57128574 0.35888353 0.06983073]
43,4,256,TmaPhePheMepPheTmaPheTmaTmaTmaTmaTmaPhePhePhePhePheTmaTmaPheMepTmaPhePheTmaPhePheTmaPheTmaPheTmaTmaTmaPheTmaTmaTmaPheTmaPheTmaTmaPhePhePhePheMepTmaPheTmaTmaMepPheTmaTmaPheTmaTmaTmaPheTmaMepPheTmaPhePheTmaPheTma,[0.57110052 0.37072607 0.05817341]
44,4,256,MepTmaPheTmaTmaPheTmaPhePhePheMepTmaTmaTmaMepPheTmaMepTmaTmaTmaPhePheTmaMepTmaPhePhePhePhePhePheTmaTmaPheMepPhePheTmaPhePhePheTmaTmaTmaTmaTmaTmaPhePheTmaPhePhePheTmaPheTmaTmaTmaTmaPhePheTmaTmaPheTmaTmaTmaPhePhe,[0.55717982 0.37264984 0.07017034]
45,4,256,TmaTmaTmaMepTmaPheTmaPhePhePheTmaTmaTmaMepPheMepPhePhePheTmaPhePheTmaTmaMepPheTmaTmaPhePhePheTmaPheTmaPhePheMepTmaTmaPhePhePheTmaTmaPhePheTmaPheTmaMepPheMepTmaMepPheTmaTmaPheTmaTmaTmaTmaPheTmaTmaTmaTmaMepMepTma,[0.55790713 0.32498965 0.11710322]
46,4,256,TmaTmaPhePheTmaPhePhePheTmaPhePhePhePhePhePheTmaMepMepPheMepPhePhePheTmaTmaPhePheTmaPheTmaPheTmaPhePheTmaTmaTmaTmaPheMepTmaPhePhePhePhePheMepTmaTmaMepTmaTmaTmaTmaMepTmaPheTmaPhePhePheTmaTmaTmaPheTmaTmaTmaPheTma,[0.51419673 0.4026983  0.08310496]
47,4,256,PhePhePheMepPhePheTmaPhePhePheTmaTmaTmaTmaTmaTmaPheTmaPheTmaPheTmaTmaTmaTmaTmaPheTmaTmaTmaPheMepTmaPheTmaPheMepMepMepTmaTmaPheTmaTmaTmaMepPheTmaTmaTmaTmaMepTmaPheTmaTmaPheTmaMepTmaPheTmaTmaMepPheTmaTmaPheTmaMep,[0.62716815 0.2585121  0.11431975]
48,4,256,PheTmaMepPheTmaTmaPheTmaPhePheTmaTmaPheTmaPheTmaTmaTmaPhePhePhePheTmaTmaMepMepTmaPheMepTmaTmaPheTmaTmaPheTmaPheTmaMepPheTmaTmaPheTmaPheMepTmaTmaMepTmaPhePheTmaTmaTmaPheTmaMepPheMepPheTmaTmaPheTmaMepTmaMepPheTma,[0.57221367 0.29955538 0.12823095]
49,4,256,PheTmaPhePheTmaPheMepTmaPheMepTmaPheTmaTmaPheTmaPheTmaTmaPheTmaTmaPheTmaPheTmaPheTmaTmaTmaPheTmaTmaTmaTmaTmaTmaPhePheMepTmaPhePheTmaPhePhePheTmaPheTmaPheTmaPhePheTmaMepTmaTmaPhePhePheTmaPhePheTmaPheTmaPhePheTma,[0.57091541 0.38256094 0.04652364]
50,4,256,PheMepTmaTmaPheTmaTmaPheTmaPheTmaTmaTmaTmaMepTmaPheMepPhePhePhePheTmaTmaMepPheTmaTmaMepTmaPheTmaTmaMepMepTmaPheTmaPheTmaTmaTmaPhePhePhePheMepTmaMepPheTmaPheTmaPheMepMepPhePhePhePhePheTmaTmaTmaTmaTmaTmaTmaTmaMep,[0.55827149 0.30111287 0.14061564]
51,4,256,TmaPhePheMepTmaTmaTmaTmaTmaMepPheMepTmaTmaTmaPhePhePheTmaPheTmaMepTmaMepPheTmaPhePheTmaPheMepMepPheMepTmaTmaTmaTmaPheTmaPhePhePheTmaTmaTmaPheTmaTmaTmaTmaTmaTmaTmaPheTmaTmaMepPheTmaMepTmaPheTmaTmaTmaMepTmaTmaTma,[0.6408303  0.23397326 0.12519644]
52,4,256,PheTmaTmaPheTmaPheTmaTmaTmaPheTmaTmaPheTmaPhePhePheTmaTmaPheTmaPheTmaTmaTmaPheTmaTmaPheTmaPhePheTmaPhePheTmaTmaPhePheTmaPhePhePheTmaPheTmaTmaTmaTmaPheTmaTmaPhePheTmaTmaMepPheTmaMepPheTmaTmaTmaPheTmaTmaTmaPhePhe,[0.62557381 0.35162036 0.02280583]
53,4,256,TmaTmaPhePheTmaPhePhePheTmaPheTmaTmaMepPheTmaPheTmaTmaPheTmaPheTmaTmaPheTmaMepPheTmaMepTmaPheMepMepTmaTmaTmaTmaPheMepPheTmaMepPheTmaPhePheMepTmaTmaPheTmaPhePheTmaMepTmaMepTmaPhePhePheTmaPheTmaPheTmaTmaTmaPhePhe,[0.54364821 0.33867553 0.11767626]
54,4,256,PhePheTmaPhePheTmaPheTmaTmaMepTmaTmaTmaTmaTmaTmaPheMepTmaPheTmaTmaTmaTmaTmaTmaPheTmaPhePhePhePhePheMepPhePhePheTmaPhePheTmaMepPhePheTmaPheTmaPheTmaTmaMepTmaPheMepPheTmaTmaTmaPhePheTmaPheTmaTmaTmaTmaTmaPhePhePhe,[0.57128574 0.35888353 0.06983073]
55,4,256,PheTmaTmaPheMepPheTmaPheTmaPhePheTmaPhePheTmaPhePheTmaMepTmaPheTmaTmaPhePhePhePheTmaPheMepTmaMepTmaTmaMepTmaTmaTmaTmaTmaTmaTmaTmaTmaPheTmaPheTmaPhePheTmaTmaTmaPheTmaTmaTmaTmaTmaPheMepTmaTmaMepPhePheMepPheTmaTma,[0.61318805 0.2949781  0.09183385]
56,4,256,PhePheTmaMepPheMepMepMepPheTmaPhePheTmaPheMepPheTmaMepPheTmaTmaMepTmaTmaTmaTmaMepTmaTmaPheTmaTmaTmaPheMepTmaPheMepTmaTmaPheMepTmaTmaMepPheTmaMepPhePhePhePhePheTmaPhePheTmaPhePheTmaTmaTmaPhePheMepTmaTmaTmaTmaPhe,[0.51539032 0.31801394 0.16659575]
57,4,256,TmaPhePhePheTmaMepTmaTmaPhePheMepTmaTmaTmaTmaPhePhePhePheMepTmaPheTmaTmaMepTmaPhePhePheMepPhePheMepTmaTmaTmaPheMepTmaTmaTmaPheTmaMepPheMepPhePheTmaMepTmaMepTmaMepTmaPhePhePhePhePhePheTmaMepTmaTmaTmaPheTmaTmaTma,[0.51521947 0.33013577 0.15464477]
58,4,256,PheTmaTmaPhePheTmaPhePheTmaPhePhePheTmaPheTmaMepTmaTmaPheTmaMepPheTmaTmaMepPheTmaMepPheTmaPheTmaPhePheTmaPheTmaPheTmaTmaMepTmaTmaPheTmaTmaTmaTmaTmaTmaTmaTmaTmaTmaPheMepTmaPheMepPheTmaTmaMepPheMepTmaTmaTmaPheTma,[0.61338427 0.28326959 0.10334615]
59,4,256,PheMepTmaTmaPheTmaPheTmaPheTmaPhePhePhePhePheTmaTmaTmaPheTmaPhePhePheMepPhePheTmaTmaTmaPhePheTmaTmaTmaPheTmaMepTmaMepPheTmaTmaTmaTmaTmaMepTmaPhePhePheTmaTmaPheTmaTmaPhePhePheTmaPheTmaTmaTmaTmaPhePheTmaPheMepPhe,[0.55717982 0.37264984 0.07017034]
60,4,256,PheTmaPheTmaPheTmaTmaPheTmaTmaTmaTmaTmaTmaTmaPheMepPheTmaPhePhePhePheTmaTmaTmaTmaTmaTmaTmaPheTmaTmaPheTmaPhePheTmaTmaPheMepTmaTmaTmaTmaPheMepTmaTmaMepPheTmaPheTmaPheTmaPheTmaTmaMepTmaTmaPhePheMepTmaTmaTmaMepTma,[0.66653847 0.2546372  0.07882433]
61,4,256,MepTmaTmaMepPheTmaTmaTmaTmaPhePheMepTmaMepTmaTmaTmaTmaPheTmaPhePheTmaTmaTmaPheTmaTmaPhePhePhePhePhePheTmaTmaTmaPheTmaPheMepTmaTmaPheTmaTmaTmaTmaPhePheMepPheTmaTmaPheTmaTmaPhePheTmaMepTmaPhePheTmaTmaPhePhePheTma,[0.59928439 0.32000151 0.08071409]
62,4,256,TmaPheTmaTmaMepTmaMepTmaPheTmaTmaPheMepTmaTmaMepTmaPheTmaTmaPheMepPheTmaTmaTmaMepTmaPhePheTmaPheTmaTmaTmaTmaPheMepTmaPheTmaTmaMepTmaMepPhePheMepTmaTmaTmaPheTmaPheMepPhePheTmaTmaTmaPheTmaTmaPheTmaPheTmaTmaPheMep,[0.61397367 0.24809906 0.13792727]
63,4,256,PhePheTmaTmaTmaPheTmaMepTmaMepPheTmaTmaMepTmaPheTmaTmaMepTmaPheTmaTmaTmaPheTmaPhePhePheTmaPhePheTmaTmaPheTmaTmaPhePheTmaPhePhePhePheTmaPheTmaPheMepTmaTmaPhePheTmaTmaPhePheMepPheTmaTmaTmaMepTmaTmaMepPheTmaTmaTma,[0.58563383 0.32164713 0.09271905]
64,4,256,TmaPheTmaTmaTmaTmaTmaPheMepTmaMepTmaTmaTmaPheTmaPhePheTmaPhePheTmaTmaPheTmaTmaTmaPheTmaTmaPhePheTmaMepPhePheTmaTmaTmaPheTmaTmaPhePheTmaTmaTmaPhePheTmaMepMepPheTmaPheTmaPheTmaTmaTmaPheTmaPheTmaMepTmaPhePheTmaTma,[0.63981565 0.2920035  0.06818084]
65,4,256,TmaMepPhePhePhePheTmaPheTmaTmaPheTmaMepMepTmaMepPhePhePheMepPheTmaTmaPhePheMepTmaPheTmaPhePhePhePhePheTmaTmaMepMepTmaTmaTmaPheTmaPheMepTmaTmaTmaTmaPheTmaPhePheTmaTmaTmaPheTmaTmaPheMepPheTmaPheTmaTmaPhePhePheTma,[0.51470759 0.36645308 0.11883933]
66,4,256,PhePheTmaPhePhePheTmaTmaMepPheTmaTmaTmaPheTmaTmaPheTmaTmaPhePhePhePheMepTmaTmaTmaPhePheTmaTmaPheTmaPheTmaPheTmaPhePhePhePhePheTmaPheTmaMepTmaTmaTmaTmaTmaPhePhePhePhePhePheTmaMepMepTmaTmaTmaPhePhePheTmaTmaTmaMep,[0.54293603 0.3865507  0.07051326]
67,4,256,TmaTmaTmaTmaTmaPheTmaTmaMepTmaMepTmaMepPhePhePheMepTmaTmaPhePhePheTmaTmaMepPhePhePhePhePheTmaTmaTmaPheMepTmaPheMepPheTmaTmaTmaTmaTmaTmaTmaPheTmaTmaTmaPheTmaTmaTmaTmaTmaPheTmaPheMepTmaMepPheTmaPhePheTmaTmaPheMep,[0.61358061 0.27155358 0.11486581]
68,4,256,PheTmaPheTmaTmaTmaTmaPheTmaMepPheTmaTmaTmaPheTmaTmaTmaTmaPheTmaTmaMepPhePhePheMepTmaTmaPhePheTmaTmaPheMepPhePheTmaPheTmaPheMepMepTmaTmaPheTmaTmaTmaMepPhePhePhePheTmaTmaPheTmaPheTmaMepPhePhePheTmaPhePheTmaTmaTma,[0.57165655 0.33517537 0.09316808]
