sample_ID,poly_ID,MIC_ecoli,sequence,seq_mon_mol_dist
16,1,>512,NiNiTmaTmaMoNiNiTmaTmaNiTmaTmaNiNiMoNiMoNiNiTmaTmaMoMoTmaTmaMoTmaNiTmaMoNiTmaTmaTmaNiNiTmaMoNiTmaNiNiTmaTmaTmaTmaNiTmaTmaTmaTmaTmaMoNiNiTmaNiTmaTmaTmaNiMoTmaTmaTmaNiNiNiNiTma,[0.61747847 0.25849236 0.12402917]
17,1,>512,NiTmaTmaNiNiTmaTmaTmaNiNiNiNiTmaNiTmaTmaTmaTmaTmaTmaNiNiNiMoTmaTmaTmaTmaTmaTmaMoTmaTmaTmaNiTmaTmaTmaNiTmaTmaNiMoTmaMoNiNiNiNiTmaMoTmaNiTmaTmaTmaTmaNiNiNiNiTmaMoMoTmaTmaTmaNiTmaMo,[0.67135548 0.23211951 0.09652501]
18,1,>512,NiTmaMoNiTmaNiTmaTmaNiTmaNiTmaNiTmaNiNiTmaNiNiTmaNiTmaNiNiTmaTmaTmaNiTmaNiNiNiTmaNiTmaNiTmaMoNiTmaNiTmaNiMoNiNiTmaNiTmaTmaNiTmaTmaNiMoTmaTmaTmaNiTmaNiMoTmaTmaTmaTmaNiNiNiTma,[0.61187525 0.32481074 0.06331402]
19,1,>512,TmaTmaTmaNiTmaNiMoNiTmaNiTmaTmaMoNiNiNiTmaTmaMoNiTmaNiTmaNiNiTmaNiTmaNiTmaTmaTmaTmaTmaNiNiTmaMoNiTmaNiNiNiTmaMoMoNiTmaTmaNiNiTmaNiNiTmaNiNiNiTmaNiNiMoTmaNiTmaNiNiTmaNiNi,[0.55350584 0.3552504  0.09124376]
20,1,>512,TmaNiNiNiNiTmaTmaTmaTmaNiTmaTmaTmaNiTmaNiTmaMoTmaNiNiTmaTmaNiTmaNiTmaNiNiTmaMoNiNiNiMoTmaNiTmaTmaTmaMoTmaTmaTmaTmaTmaMoTmaTmaNiMoTmaTmaNiNiNiMoTmaNiNiNiTmaMoNiMoTmaNiTmaNiNi,[0.60578716 0.28138154 0.11283129]
21,1,>512,TmaNiNiNiTmaNiNiNiTmaTmaMoNiTmaTmaMoTmaNiTmaTmaTmaTmaNiNiMoTmaMoTmaTmaNiTmaNiNiTmaNiTmaTmaTmaNiNiNiTmaTmaTmaNiTmaMoNiNiTmaNiNiNiMoTmaNiMoMoNiTmaNiMoTmaTmaMoNiTmaNiNiNiNi,[0.54924434 0.321411   0.12934466]
22,1,>512,NiNiNiNiNiTmaNiNiNiMoTmaNiMoMoTmaTmaNiTmaMoTmaTmaTmaNiNiNiTmaTmaTmaTmaMoTmaNiTmaMoTmaNiTmaNiTmaMoNiNiNiMoMoMoTmaNiTmaNiTmaTmaNiTmaTmaNiTmaTmaTmaNiNiNiTmaTmaNiMoTmaNiNiNi,[0.54783838 0.31024669 0.14191492]
23,1,>512,NiTmaTmaNiMoNiTmaMoNiTmaNiTmaTmaTmaTmaTmaTmaMoNiTmaNiTmaMoNiTmaTmaTmaTmaTmaNiMoMoNiNiMoTmaTmaNiTmaNiNiTmaNiNiTmaNiNiTmaNiMoTmaMoNiNiTmaNiTmaNiNiTmaNiMoNiNiMoTmaNiNiTmaNi,[0.54783838 0.31024669 0.14191492]
24,1,>512,TmaNiNiNiNiMoTmaTmaMoMoNiNiTmaTmaNiMoNiTmaNiTmaNiNiMoMoTmaTmaNiTmaMoTmaTmaNiTmaTmaTmaNiTmaTmaTmaNiNiTmaTmaMoTmaTmaNiTmaMoNiTmaTmaTmaTmaTmaNiNiTmaNiTmaMoNiTmaTmaMoTmaTmaTmaTmaNi,[0.64167366 0.22442488 0.13390146]
25,1,>512,TmaTmaTmaTmaMoNiNiNiTmaTmaNiNiTmaNiMoNiNiTmaTmaNiNiNiNiNiTmaTmaNiNiNiNiMoNiNiNiTmaTmaTmaNiTmaTmaNiTmaNiNiNiNiNiMoMoNiTmaNiNiTmaNiNiNiTmaNiNiTmaNiTmaTmaMoNiNiMoMoTma,[0.47746014 0.41384806 0.1086918 ]
26,1,>512,NiNiNiTmaNiTmaMoNiNiTmaMoNiMoNiNiNiMoNiTmaNiNiMoNiTmaNiNiTmaTmaNiTmaNiNiTmaTmaNiTmaNiTmaTmaTmaMoNiNiNiMoTmaNiTmaTmaTmaTmaTmaNiMoNiNiTmaTmaTmaNiNiMoNiTmaTmaTmaTmaNiNiTma,[0.5362778  0.34600086 0.11772135]
27,1,>512,TmaTmaTmaTmaTmaNiMoTmaTmaNiNiTmaNiNiTmaNiMoNiTmaNiTmaTmaTmaTmaNiTmaNiNiTmaTmaMoTmaNiNiTmaMoNiNiNiMoTmaNiTmaTmaNiNiNiTmaTmaTmaMoNiNiNiNiMoNiTmaTmaTmaMoNiMoTmaNiTmaTmaNiNiNi,[0.57868809 0.30657417 0.11473774]
28,1,>512,TmaTmaMoNiTmaTmaMoMoTmaMoTmaNiTmaNiTmaNiNiTmaNiNiTmaTmaTmaTmaTmaTmaTmaTmaTmaTmaTmaTmaTmaMoNiTmaTmaNiNiTmaNiNiTmaMoNiNiMoTmaTmaNiNiNiTmaNiMoNiNiNiNiTmaNiNiTmaTmaTmaTmaTmaNiMoNi,[0.63200041 0.25701242 0.11098716]
29,1,>512,NiTmaNiNiTmaTmaTmaMoNiNiNiNiTmaNiTmaTmaMoTmaTmaNiTmaTmaTmaNiTmaTmaTmaMoTmaNiNiNiTmaNiNiTmaTmaNiTmaNiNiTmaMoNiNiNiTmaMoTmaTmaTmaMoTmaMoTmaTmaTmaTmaNiTmaTmaNiNiTmaMoNiTmaTmaTmaNi,[0.64635701 0.25554934 0.09809365]
30,1,>512,TmaNiTmaTmaTmaTmaTmaNiTmaTmaTmaNiNiNiNiNiMoTmaTmaMoTmaMoNiTmaNiTmaNiMoMoTmaTmaNiTmaTmaTmaNiNiNiTmaTmaNiMoNiTmaTmaTmaNiTmaNiTmaNiNiTmaNiTmaMoNiTmaNiTmaNiMoTmaTmaNiTmaNiNiNiTma,[0.62053262 0.27975328 0.09971411]
31,1,>512,NiMoTmaTmaNiTmaTmaNiTmaNiMoTmaNiMoTmaTmaNiTmaTmaTmaTmaTmaTmaTmaNiNiNiTmaNiNiTmaNiNiNiMoTmaNiTmaTmaTmaMoNiNiTmaTmaTmaNiNiTmaTmaMoNiNiNiMoMoTmaTmaMoTmaNiTmaNiNiMoMoTmaNiTmaTma,[0.60278833 0.25998943 0.13722224]
32,1,>512,TmaMoTmaTmaNiTmaTmaNiTmaNiNiNiMoMoTmaNiTmaMoNiTmaNiMoTmaTmaNiNiNiTmaTmaNiNiTmaNiTmaNiTmaTmaNiTmaNiNiMoNiNiMoMoTmaTmaNiTmaTmaTmaTmaMoTmaTmaTmaTmaNiNiNiTmaMoTmaTmaTmaMoTmaNiTma,[0.61596265 0.24794019 0.13609716]
33,1,>512,TmaTmaTmaTmaMoTmaNiTmaMoTmaTmaNiNiTmaNiNiTmaNiNiNiTmaTmaTmaNiNiNiTmaTmaNiTmaNiMoNiTmaNiNiNiTmaTmaMoMoNiTmaNiTmaNiNiTmaNiNiTmaNiTmaTmaTmaTmaTmaMoMoTmaNiNiTmaTmaNiNiTmaTmaNiTma,[0.62207104 0.2904628  0.08746616]
34,1,>512,TmaNiNiNiTmaNiNiTmaTmaTmaNiTmaNiNiTmaNiTmaNiNiNiNiNiMoTmaNiTmaMoTmaTmaNiNiNiNiTmaNiMoNiTmaNiNiNiNiNiTmaNiTmaTmaNiNiNiTmaNiTmaNiNiNiMoTmaTmaTmaTmaTmaTmaMoNiTmaTmaTmaNiTma,[0.55638377 0.37810325 0.06551298]
35,1,>512,TmaNiTmaNiNiNiNiTmaMoTmaMoTmaNiNiTmaNiMoTmaTmaTmaTmaMoTmaTmaTmaMoNiTmaTmaNiTmaNiTmaNiTmaTmaTmaNiNiNiTmaNiNiTmaNiNiTmaMoTmaNiNiTmaTmaNiNiNiNiTmaTmaNiNiTmaNiNiNiNiTmaNiNiTma,[0.58311304 0.33981023 0.07707672]
36,1,>512,TmaTmaNiTmaTmaNiMoNiNiNiTmaTmaTmaNiNiTmaNiTmaTmaTmaTmaTmaNiNiTmaTmaTmaTmaNiNiNiNiNiTmaNiTmaTmaTmaNiTmaNiNiNiTmaTmaTmaMoNiNiTmaNiTmaNiTmaNiNiNiMoTmaMoNiTmaNiNiMoTmaMoNiNiNi,[0.58311304 0.33981023 0.07707672]
37,1,>512,TmaTmaTmaTmaTmaNiTmaNiNiTmaTmaNiTmaNiTmaTmaMoNiTmaNiNiNiTmaNiNiNiNiTmaNiTmaNiTmaTmaNiTmaTmaTmaTmaTmaNiNiTmaMoTmaNiTmaTmaTmaTmaNiTmaNiMoNiTmaNiTmaNiNiTmaNiNiTmaNiTmaNiTmaNiNiTma,[0.6543164  0.30844551 0.0372381 ]
38,1,>512,NiMoNiTmaTmaTmaTmaNiNiTmaNiTmaTmaTmaNiTmaTmaTmaNiNiTmaTmaMoNiNiTmaTmaTmaNiTmaNiTmaNiNiTmaTmaNiMoNiNiNiNiMoMoMoMoTmaTmaNiNiNiTmaTmaTmaNiNiTmaMoNiTmaMoTmaNiTmaNiTmaTmaNiMoTma,[0.59086906 0.28302888 0.12610206]
39,1,>512,TmaNiMoTmaTmaTmaTmaNiNiNiTmaTmaNiNiTmaNiNiMoTmaNiTmaNiNiNiNiTmaTmaTmaNiTmaNiTmaTmaNiNiTmaTmaTmaTmaNiNiNiTmaTmaTmaNiTmaTmaTmaNiTmaMoNiTmaTmaNiTmaNiTmaTmaTmaNiNiTmaTmaTmaMoTmaTmaTma,[0.69011333 0.26154777 0.0483389 ]
40,1,>512,NiTmaTmaTmaNiNiNiMoTmaNiTmaNiTmaNiMoTmaTmaNiNiNiNiNiTmaNiNiNiNiNiTmaNiTmaNiNiNiNiTmaMoNiNiTmaMoTmaTmaTmaNiNiNiNiNiTmaMoMoTmaNiNiTmaTmaTmaTmaNiNiNiNiTmaNiTmaMoTmaNiTma,[0.50944825 0.39688063 0.09367112]
41,1,>512,TmaTmaNiTmaTmaNiNiNiNiTmaTmaNiMoTmaNiTmaMoTmaTmaNiNiNiTmaTmaNiTmaTmaNiMoTmaMoNiTmaNiTmaMoNiNiTmaNiTmaTmaTmaTmaTmaTmaTmaNiTmaTmaNiTmaNiNiNiMoTmaNiTmaNiNiTmaNiNiNiNiNiTmaMoNi,[0.59533772 0.31572325 0.08893903]
42,1,>512,MoNiTmaTmaNiNiNiNiTmaNiTmaMoTmaTmaTmaMoTmaMoTmaTmaNiTmaTmaTmaTmaNiNiNiTmaMoTmaNiNiTmaTmaNiTmaTmaTmaNiTmaTmaNiNiTmaMoNiNiMoNiNiNiTmaNiNiTmaNiTmaMoNiNiNiTmaTmaNiTmaTmaTmaNiTma,[0.6072978  0.29215762 0.10054458]
43,1,>512,NiNiTmaTmaTmaNiTmaNiTmaNiTmaNiNiTmaNiTmaNiMoNiNiTmaNiNiMoMoNiTmaNiMoNiTmaNiTmaTmaTmaNiNiTmaTmaNiMoMoNiNiNiNiMoMoNiTmaTmaTmaTmaNiMoNiTmaNiNiTmaNiNiTmaMoNiTmaTmaNiNiTma,[0.50542243 0.36181914 0.13275843]
44,1,>512,NiTmaTmaTmaNiTmaTmaNiTmaTmaMoTmaNiMoTmaTmaMoNiTmaTmaTmaTmaTmaTmaTmaTmaTmaTmaTmaTmaTmaNiNiTmaTmaTmaTmaNiNiTmaNiTmaNiNiTmaNiTmaTmaMoNiTmaNiTmaMoNiNiTmaTmaNiTmaNiTmaNiTmaTmaTmaMoNiNiTma,[0.72237976 0.20714307 0.07047717]
45,1,>512,NiNiNiNiNiNiNiMoNiNiMoNiTmaTmaNiNiNiNiMoTmaTmaMoTmaNiMoMoTmaTmaTmaTmaNiTmaNiTmaNiNiNiTmaMoTmaNiNiTmaNiTmaTmaNiTmaMoTmaMoNiNiNiNiNiNiTmaNiNiMoTmaTmaNiTmaNiMoMoNiMo,[0.43966267 0.38290973 0.1774276 ]
46,1,>512,NiNiNiTmaNiTmaTmaTmaTmaMoTmaTmaNiNiTmaTmaTmaNiNiNiMoTmaTmaTmaTmaTmaNiTmaTmaNiTmaMoTmaNiNiTmaNiTmaNiNiTmaMoNiTmaTmaMoNiNiNiNiNiNiTmaTmaNiTmaTmaTmaTmaTmaMoTmaTmaTmaTmaNiMoTmaTmaNi,[0.66055108 0.25410282 0.08534609]
47,1,>512,NiTmaTmaTmaNiTmaNiNiTmaTmaTmaMoTmaTmaMoTmaTmaMoNiMoNiNiNiNiTmaNiTmaTmaMoTmaTmaNiNiMoNiTmaMoTmaTmaNiTmaTmaMoNiNiTmaTmaNiNiTmaMoNiTmaNiNiTmaNiNiTmaMoTmaNiNiTmaTmaNiNiTmaNiTma,[0.59086906 0.28302888 0.12610206]
48,1,>512,NiMoNiMoTmaNiTmaTmaTmaNiTmaTmaNiTmaNiTmaTmaTmaNiNiNiNiMoNiNiNiTmaTmaNiTmaNiTmaMoNiTmaTmaMoTmaTmaTmaTmaTmaTmaNiTmaTmaNiTmaTmaTmaNiNiMoNiNiNiNiNiNiNiNiTmaNiNiTmaMoNiTmaTmaNi,[0.58163056 0.32867521 0.08969423]
49,1,>512,TmaNiNiTmaTmaTmaMoNiTmaTmaNiNiNiNiNiTmaNiTmaNiTmaTmaTmaNiNiNiMoNiMoTmaNiTmaTmaNiNiNiNiTmaTmaNiNiNiTmaNiTmaTmaTmaTmaNiNiNiTmaTmaNiMoTmaTmaNiNiTmaTmaTmaNiTmaNiTmaNiTmaNiNiNi,[0.5861008  0.36225144 0.05164777]
50,1,>512,TmaMoTmaNiTmaTmaMoTmaNiNiTmaNiMoTmaNiMoNiTmaTmaTmaNiNiNiTmaTmaMoTmaTmaNiNiTmaTmaMoMoNiTmaTmaTmaNiTmaMoTmaMoMoNiNiTmaNiTmaNiMoTmaNiNiNiTmaMoNiTmaNiTmaTmaNiTmaNiTmaTmaNiTmaTma,[0.60130002 0.2493726  0.14932738]
51,1,>512,TmaMoNiTmaTmaTmaMoNiTmaTmaNiNiNiMoNiTmaNiTmaTmaTmaNiTmaNiNiTmaNiNiNiTmaNiMoTmaTmaNiTmaTmaTmaTmaNiNiNiNiNiTmaNiMoMoNiNiTmaNiTmaNiTmaMoMoTmaTmaNiNiTmaMoMoTmaNiNiTmaTmaNiTma,[0.56335508 0.3083995  0.12824543]
52,1,>512,TmaMoNiNiTmaTmaNiTmaMoTmaTmaTmaTmaMoNiTmaNiTmaNiNiNiTmaTmaTmaNiTmaTmaTmaNiTmaNiTmaNiNiTmaTmaNiNiTmaNiNiTmaNiNiTmaTmaTmaNiTmaNiTmaTmaTmaTmaMoTmaTmaMoMoMoTmaTmaNiNiNiTmaTmaNiNiNi,[0.64793336 0.26602537 0.08604127]
53,1,>512,TmaNiMoTmaNiNiTmaTmaTmaTmaTmaNiTmaMoNiTmaTmaNiMoNiMoTmaTmaTmaTmaTmaTmaTmaNiTmaNiNiMoNiMoTmaTmaNiNiNiTmaNiMoTmaNiNiTmaNiTmaTmaTmaTmaNiNiTmaNiTmaNiNiNiNiTmaTmaNiMoTmaNiNiNiNi,[0.59384067 0.30477032 0.10138901]
54,1,>512,TmaNiNiTmaNiMoMoNiTmaNiMoMoNiNiTmaTmaTmaMoTmaNiTmaTmaTmaTmaTmaNiNiTmaMoNiNiMoTmaNiTmaNiNiNiNiNiNiNiTmaNiTmaNiTmaTmaTmaTmaTmaTmaTmaNiNiTmaTmaTmaTmaNiNiTmaNiNiTmaNiNiNiNiMo,[0.56623672 0.33064214 0.10312114]
55,1,>512,NiTmaTmaTmaTmaTmaNiTmaNiTmaNiMoNiTmaTmaMoNiTmaNiMoMoNiNiTmaNiNiMoTmaNiTmaNiTmaTmaTmaNiTmaNiTmaTmaTmaTmaTmaNiTmaTmaNiTmaMoTmaNiNiNiTmaNiMoMoNiNiTmaNiTmaTmaNiTmaNiTmaNiTmaTmaNi,[0.62053262 0.27975328 0.09971411]
56,1,>512,TmaTmaNiNiTmaNiMoTmaMoNiTmaTmaTmaTmaNiNiNiNiTmaTmaTmaTmaNiTmaTmaTmaNiMoNiNiNiNiTmaTmaNiNiNiNiNiNiNiTmaNiMoTmaTmaTmaTmaTmaNiTmaTmaTmaNiNiNiNiTmaTmaNiNiTmaNiMoTmaNiTmaNiTmaNi,[0.59835457 0.33779563 0.0638498 ]
57,1,>512,TmaTmaNiNiTmaNiNiNiNiNiMoMoTmaTmaTmaTmaTmaTmaTmaTmaTmaTmaTmaTmaNiNiTmaMoTmaNiNiTmaNiTmaTmaTmaTmaNiTmaNiNiNiNiTmaNiTmaTmaNiNiTmaMoTmaNiNiTmaTmaTmaNiTmaMoTmaTmaTmaNiNiTmaNiTmaNiNi,[0.66376252 0.27497961 0.06125788]
58,1,>512,TmaTmaTmaTmaMoTmaTmaNiMoNiTmaMoNiTmaNiTmaTmaNiNiNiTmaTmaTmaNiNiTmaTmaTmaTmaNiMoTmaNiTmaNiMoTmaNiTmaNiTmaNiTmaTmaTmaTmaNiTmaNiTmaTmaTmaNiTmaTmaTmaNiTmaTmaNiTmaTmaTmaNiTmaNiNiTmaNiMo,[0.69886048 0.22954782 0.0715917 ]
59,1,>512,NiTmaNiNiNiNiTmaMoTmaMoTmaTmaNiTmaMoNiTmaMoNiNiTmaMoTmaNiNiNiTmaTmaNiTmaTmaTmaMoMoTmaTmaNiTmaNiNiNiTmaTmaNiMoTmaTmaTmaNiNiTmaMoNiNiTmaNiNiMoNiNiTmaTmaTmaNiNiTmaNiMoTmaTma,[0.56192522 0.29736286 0.14071192]
60,1,>512,TmaTmaTmaMoNiTmaTmaTmaNiMoNiNiNiTmaTmaNiNiNiMoNiNiNiTmaTmaNiTmaNiMoNiNiMoTmaNiNiTmaTmaNiMoNiMoNiTmaTmaTmaNiTmaMoNiNiTmaNiNiTmaTmaTmaMoNiTmaTmaNiNiNiTmaTmaNiNiNiTmaNiNi,[0.5216466  0.35960273 0.11875067]
61,1,>512,TmaTmaNiNiTmaTmaTmaNiTmaMoNiTmaTmaTmaNiNiTmaNiNiTmaMoTmaTmaNiNiTmaNiNiTmaTmaTmaTmaTmaTmaTmaTmaNiTmaTmaTmaTmaNiTmaTmaTmaTmaTmaTmaNiTmaMoNiTmaTmaTmaTmaTmaTmaMoTmaNiNiTmaMoMoMoTmaTmaNiTma,[0.7434718  0.17575063 0.08077757]
62,1,>512,TmaNiNiTmaTmaTmaTmaTmaTmaNiTmaNiNiNiNiTmaTmaNiTmaTmaNiMoTmaMoTmaMoNiTmaTmaTmaNiTmaNiNiTmaTmaNiNiNiNiNiTmaMoMoNiTmaTmaMoNiNiNiNiNiNiMoMoMoMoNiTmaTmaNiNiTmaNiNiTmaTmaNiNi,[0.53488961 0.33464748 0.13046291]
63,1,>512,NiNiNiMoNiNiNiNiTmaTmaNiNiTmaTmaNiNiTmaTmaTmaNiNiNiNiNiTmaTmaMoNiTmaMoNiMoTmaTmaNiNiMoNiTmaTmaTmaTmaTmaNiNiTmaTmaTmaTmaTmaMoTmaNiTmaNiNiNiTmaMoNiNiTmaNiTmaTmaTmaMoMoNiTma,[0.56479222 0.31949245 0.11571533]
64,1,>512,NiTmaNiNiNiTmaTmaNiNiMoTmaTmaMoNiNiNiTmaNiTmaNiNiNiMoNiTmaNiNiTmaNiTmaTmaNiTmaNiTmaTmaTmaTmaTmaNiNiMoNiTmaNiTmaNiTmaTmaTmaTmaNiNiNiNiNiNiTmaNiNiNiNiNiTmaNiNiNiNiTmaNi,[0.51353872 0.43250516 0.05395613]
65,1,>512,TmaNiMoTmaTmaNiNiTmaNiMoTmaTmaMoTmaNiTmaTmaNiNiTmaTmaTmaTmaMoTmaTmaMoTmaNiNiTmaTmaNiNiNiNiNiNiNiNiNiTmaTmaNiTmaMoNiMoNiTmaNiNiNiNiNiNiMoNiNiTmaMoNiMoNiNiTmaTmaNiNiNi,[0.49029654 0.37576672 0.13393675]
66,1,>512,TmaNiMoNiTmaNiMoTmaNiTmaTmaNiTmaNiTmaNiMoTmaTmaTmaNiNiTmaNiNiTmaNiTmaMoNiNiNiNiNiNiMoNiNiNiTmaNiTmaNiTmaNiNiNiTmaNiTmaTmaNiNiNiMoTmaTmaTmaNiTmaNiTmaNiNiNiNiTmaTmaMoNi,[0.50944825 0.39688063 0.09367112]
67,1,>512,TmaTmaNiTmaMoTmaNiTmaTmaMoNiNiTmaNiNiTmaMoTmaNiTmaNiNiTmaTmaTmaNiTmaTmaTmaNiMoTmaTmaNiNiTmaTmaTmaTmaNiMoNiTmaTmaNiMoTmaNiMoNiNiTmaNiTmaNiNiNiTmaMoTmaNiMoTmaTmaNiTmaNiNiTmaNi,[0.60578716 0.28138154 0.11283129]
68,1,>512,TmaTmaMoMoNiNiTmaTmaNiTmaMoNiTmaTmaTmaMoNiNiNiTmaMoNiNiTmaMoMoTmaTmaNiMoNiNiTmaNiNiNiNiTmaMoTmaTmaTmaTmaNiNiNiTmaTmaNiTmaTmaTmaTmaMoNiNiNiMoTmaNiTmaTmaNiNiNiNiTmaNiTmaNi,[0.54783838 0.31024669 0.14191492]
69,1,>512,TmaNiNiNiTmaNiTmaNiTmaTmaTmaMoTmaTmaMoNiTmaNiNiTmaNiNiTmaMoTmaTmaMoTmaMoTmaNiTmaNiNiMoTmaMoNiTmaNiTmaMoNiTmaNiNiTmaMoTmaTmaTmaTmaTmaNiNiTmaTmaTmaNiNiTmaMoNiTmaNiMoNiNiTmaNi,[0.58939437 0.27223955 0.13836607]
